Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bosnia and Herzegovina,BIH,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183917173,1.130936979,0.074014944,1.893183053,1.501967114,1.33274153,1.221904347,1.371462242,0.882472871,0.8785704,1.798185392,2.024366226,1.727716807,2.280645978,3.783747347,1.5060718,2.650197167,3.675416456,2.361221413,1.949745359,1.421734974,1.009054952,1.068567658,
Belarus,BLR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.135178093,0.545245224,2.186988459,2.144272336,1.886097998,2.242389706,3.286970597,3.126578695,0.730662308,1.635585048,2.497224521,2.131236649,1.824557019,1.79342895,1.824939035,1.843177611,1.808762765,1.608658415,1.569007637,1.142593642,1.360268484,1.781797517,1.673704199,1.280567963,1.101378071,0.973247377,1.455966748,
Belize,BLZ,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.993307334,0.890162687,0.817435115,1.321847133,0.992842713,1.217720709,1.13198493,1.061159345,1.12096925,1.557448552,1.340592281,1.116209266,1.753366318,0.999238998,0.671462237,0.572481599,0.466453317,0.780612897,0.677121149,0.660934076,0.761968037,0.72187098,0.63901383,0.585191138,0.52783167,0.64319951,0.544170729,0.526245259,0.439001617,0.37509073,0.274282497,0.273193393,0.283094787,0.274621349,0.243378903,0.585682187,2.997362978,3.804693778,5.691583877,3.240239308,4.9920618,6.743264806,5.04118635,4.390076033,2.540225074,1.178358363,1.265852891,
Bermuda,BMU,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bolivia,BOL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.579475355,0.940123787,0.992997563,3.547787782,9.153130895,4.810380607,4.540490516,5.486135164,5.074864518,8.689984945,11.21988004,4.982785208,3.534780469,4.541964866,3.272457781,3.142698709,2.086503147,2.887852246,4.762169118,6.821476582,6.975658635,2.700925306,2.820472537,2.497825157,2.378359816,2.648162762,3.008871831,2.84453111,1.464046774,1.926841167,3.516020344,3.439444173,3.683516101,4.137443391,7.656982812,12.33549714,16.3297426,16.44631183,14.17185365,7.377656351,8.979741779,13.2010726,12.29292381,11.39162722,10.97821756,5.609917309,6.009764223,
Brazil,BRA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.555237163,1.297108868,1.294722297,1.373476332,1.732098374,1.95696296,1.839181259,1.698333846,1.616692044,2.246299561,2.728593592,2.31479374,2.517430498,3.13952407,2.957072771,2.804150582,1.732445931,1.985837919,1.703970298,1.769457813,2.161058099,1.398785866,2.108412574,1.851828127,1.351577096,1.18555741,1.195284115,1.134188998,1.13588578,1.894691706,2.453365071,2.473971537,3.133534635,3.477582104,3.697809284,4.751798275,4.890215475,5.61484609,6.078752092,3.07201835,4.452135563,5.027461021,4.605062132,4.469439182,4.027833847,2.867179444,3.088663099,
Barbados,BRB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34520276,0.185089069,0.241684248,0.217684366,0.173367217,0.203905932,0.20117828,0.148656535,0.099671019,0.217519583,0.343226665,0.208924675,0.177026082,0.204496556,0.257442039,0.35393986,0.399486496,0.410481801,0.554659199,0.195562462,0.357215753,0.537703892,0.520100523,0.491584345,0.441013064,0.158570737,0.168462629,
Brunei Darussalam,BRN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.381259363,7.916163555,15.99620274,26.92232937,53.89225597,50.05754782,52.81634326,50.83146403,46.54146972,89.59625266,57.5835395,35.21683276,17.46434772,28.76053237,30.32487663,31.31730535,26.03569442,24.8751748,18.79640525,23.18788377,33.19912933,20.28922708,18.59036914,18.63596508,17.53455132,15.76797137,16.74567732,14.96066503,8.705012399,15.18401367,26.39209059,21.24908484,17.89174126,19.43314557,22.92063482,29.7001753,30.67059529,23.29999932,25.23287807,17.83023834,19.62802816,26.59134955,24.15710818,19.57496744,16.74810302,8.33601146,9.185747266,
Bhutan,BTN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,13.66950941,11.12631515,16.40951751,10.09349384,8.172370792,5.605451561,8.045733264,5.899147285,5.517182609,5.530368974,6.008681958,7.278850685,7.600601253,6.259107863,5.123719997,5.867457772,5.591523245,4.116145315,4.036455669,4.080341621,3.857393083,3.74947535,3.469921048,3.250500299,2.883902041,2.583888264,3.312785445,4.19534684,4.08597441,3.441420714,5.155270318,4.792926771,4.110080476,3.357559251,3.327942683,3.915130603,4.476880525,
Botswana,BWA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,3.153987157,2.114909259,1.861189084,2.419253463,4.626262179,4.185313774,7.451428904,6.109052631,2.732809182,4.053036086,4.317724335,3.13915743,3.491888508,2.300968674,1.642465758,1.882684688,1.482312512,1.140267305,7.248700608,5.567874834,2.047029072,1.497031259,1.037470775,0.694043842,0.996958171,1.326430219,0.972465052,0.872229012,0.669770955,0.423217752,1.445871722,0.57753839,0.551109412,1.622795623,3.31862092,3.823181157,7.987679667,9.273115154,6.042689672,11.45345887,4.93700686,3.618448013,3.413008935,3.484034504,2.898769691,1.373946139,0.9628058,
