Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Barbados,BRB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215033896,0.264956666,0.137490779,0.255403175,0.908878203,1.10733869,0.338304232,1.540925837,0.330483051,,,,,,,,,0.753084621,2.514106718,0.343616781,0.138753388,0.188787744,,,
Brunei Darussalam,BRN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704335963,0.801376386,0.58810754,1.123457916,1.382957296,0.669370476,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,2.996450123,3.083065521,3.150575135,4.64660237,7.437048447,9.916348572,7.735329931,5.252905022,8.271792476,7.121607852,10.68967107,15.15074556,21.62088574,13.5560363,15.81795974,11.47023917,12.01571416,12.77969164,23.10558136,27.00768925,30.36357583,42.157859,51.76850629,56.45672885,58.08058783,84.66831433,60.55987052,59.16766257,56.76368028,69.0477834,79.7112395,94.04960672,119.1142478,97.0175871,97.21060196,87.07870531,82.41163255,73.89971651,71.83117948,74.7086921,70.29064676,75.10033232,77.40572136
Central Europe and the Baltics,CEB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.352613281,3.673375837,2.415576579,4.802358915,4.797387291,4.280451856,4.41280537,7.896623108,4.040991643,3.605120066,4.442800615,7.197698674,10.40090646,12.7974574,16.38272274,8.345107062,9.582809135,9.890215385,8.471594276,7.332342976,7.475624351,6.543279839,,,
Switzerland,CHE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,66.52239968,68.73030886,,113.8834521,122.8270778,199.1311886,84.5061463,220.5918199,185.6556246,204.7615567,155.201515,28.15302506,26.63574073,70.78994536,87.36610971,93.14102726,125.7849303,188.5700651,233.2145081,160.4799594,233.0767509,210.5271914,162.8185069,127.1331476,11.12578638,13.86098988,18.85901446,262.3939776,254.8449786,142.3102381,149.9475461,118.3434243,88.61509451,101.6093812,103.507575,140.6204216,125.1953549,139.6899098
Channel Islands,CHI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173607595,0.53511781,0.959424018,0.705167072,0.115517145,0.146370377,0.03115345,0.008061038,0.000868462,,,,,,,,,,
Chile,CHL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,2.593269015,1.301076751,0.872624702,0.525644598,0.509618346,0.81342672,3.996601815,5.688505095,5.856323128,6.287291026,4.762352306,4.675167552,4.179676071,5.357868789,9.293889408,15.09386421,1.381901475,8.743253183,5.269901234,8.675815879,7.402505776,5.735593634,3.816922433,9.997784364,13.18568511,16.63125382,17.96790807,26.01445127,16.07247366,21.48275291,26.50588866,20.32357786,17.4047193,14.80937867,10.41156041,8.06336562,9.587869738,13.74788104
